,Game_Id,Home_Score,Home_Team,Visitor_Score,Visitor_Team,Winner
532,2007020533,3,COL,1,VAN,COL
533,2007020534,0,CGY,1,N.J,N.J
534,2007020535,4,DAL,1,MTL,DAL
535,2007020536,3,BUF,5,OTT,OTT
536,2007020537,4,NYI,3,TOR,NYI
537,2007020538,4,NYR,2,CAR,NYR
538,2007020539,3,WSH,2,T.B,WSH
539,2007020540,2,CBJ,0,ATL,CBJ
540,2007020541,5,CHI,2,NSH,CHI
541,2007020542,0,STL,5,DET,DET
542,2007020543,8,DAL,3,MIN,DAL
543,2007020544,2,L.A,3,S.J,S.J
544,2007020545,4,PHI,1,TOR,PHI
545,2007020546,3,ATL,5,FLA,FLA
546,2007020547,5,OTT,2,NYI,OTT
547,2007020548,4,PIT,3,WSH,PIT
548,2007020549,2,T.B,5,MTL,MTL
549,2007020550,4,NSH,3,CBJ,NSH
550,2007020551,2,COL,4,DET,DET
551,2007020552,1,EDM,2,ANA,ANA
552,2007020553,2,PHX,3,MIN,MIN
553,2007020554,5,VAN,3,CGY,VAN
554,2007020555,2,N.J,1,BUF,N.J
555,2007020556,4,CAR,3,BOS,CAR
556,2007020557,1,FLA,5,MTL,MTL
557,2007020558,0,STL,1,S.J,S.J
558,2007020559,2,T.B,4,PHI,PHI
559,2007020560,1,COL,3,L.A,L.A
560,2007020561,1,TOR,6,NYR,NYR
561,2007020562,6,OTT,8,WSH,WSH
562,2007020563,5,NYI,2,N.J,NYI
563,2007020564,5,ATL,0,BOS,ATL
564,2007020565,4,CBJ,1,CAR,CBJ
565,2007020566,2,PIT,0,BUF,PIT
566,2007020567,2,NSH,5,S.J,S.J
567,2007020568,5,MIN,4,EDM,MIN
568,2007020569,5,DAL,4,STL,DAL
569,2007020570,2,PHX,4,DET,DET
570,2007020571,5,CGY,3,ANA,CGY
571,2007020572,0,FLA,1,PHI,PHI
572,2007020573,4,NYR,3,MTL,NYR
573,2007020574,2,CHI,3,L.A,L.A
574,2007020575,2,VAN,1,ANA,VAN
575,2007020576,5,BOS,2,ATL,BOS
576,2007020577,4,CBJ,2,EDM,CBJ
577,2007020578,0,DET,2,STL,STL
578,2007020579,2,MIN,3,S.J,S.J
579,2007020580,1,CAR,4,NYI,NYI
580,2007020581,4,PHX,3,COL,PHX
581,2007020582,0,DAL,1,NSH,NSH
582,2007020583,2,CGY,1,VAN,CGY
583,2007020584,1,BUF,2,PIT,PIT
584,2007020585,6,WSH,3,OTT,WSH
585,2007020586,4,TOR,3,T.B,TOR
586,2007020587,9,L.A,2,CHI,L.A
587,2007020588,3,N.J,2,FLA,N.J
588,2007020589,4,CAR,5,ATL,ATL
589,2007020590,4,DET,1,DAL,DET
590,2007020591,2,STL,3,EDM,EDM
591,2007020592,2,COL,5,PHX,PHX
592,2007020593,4,CGY,3,NYR,CGY
593,2007020594,2,ANA,1,CBJ,ANA
594,2007020595,2,BOS,0,WSH,BOS
595,2007020596,3,NYI,4,FLA,FLA
596,2007020597,6,MTL,3,T.B,MTL
597,2007020598,6,PIT,2,TOR,PIT
598,2007020599,5,NSH,2,EDM,NSH
599,2007020600,6,MIN,3,DAL,MIN
600,2007020601,4,PHX,2,CHI,PHX
601,2007020602,3,VAN,0,NYR,VAN
602,2007020603,3,L.A,4,CBJ,CBJ
603,2007020604,2,S.J,3,CGY,CGY
